asof,origin_asof,origin_snapshot_id,horizon_trading_days,actual_close,p10,p25,p50,p75,p90,inside_p10_p90,p50_error_pct,probability_space
2026-08-06,2026-08-03,nasdaq-scenario:2026-08-03:r8,3,26348.35,25310,25620,25970,26330,26650,true,1.457,scenario_conditional
2026-08-07,2026-08-03,nasdaq-scenario:2026-08-03:r8,4,26690.62,25220,25580,25990,26400,26770,true,2.696,scenario_conditional
2026-08-07,2026-08-06,nasdaq-scenario:2026-08-06:r1,1,26690.62,25980,26170,26370,26580,26760,true,1.216,scenario_conditional
2026-08-10,2026-08-03,nasdaq-scenario:2026-08-03:r8,5,26605.36,25160,25540,26010,26470,26880,true,2.289,scenario_conditional
2026-08-10,2026-08-06,nasdaq-scenario:2026-08-06:r1,2,26605.36,25840,26110,26390,26690,26960,true,0.816,scenario_conditional
2026-08-10,2026-08-07,nasdaq-scenario:2026-08-07:r1,1,26605.36,26320,26510,26720,26930,27110,true,-0.429,scenario_conditional
2026-08-11,2026-08-03,nasdaq-scenario:2026-08-03:r8,6,26445.45,25090,25530,26030,26530,27000,true,1.596,scenario_conditional
2026-08-11,2026-08-06,nasdaq-scenario:2026-08-06:r1,3,26445.45,25750,26060,26420,26770,27100,true,0.096,scenario_conditional
2026-08-11,2026-08-07,nasdaq-scenario:2026-08-07:r1,2,26445.45,26170,26450,26730,27030,27320,true,-1.065,scenario_conditional
2026-08-11,2026-08-10,nasdaq-scenario:2026-08-10:r1,1,26445.45,26240,26420,26630,26840,27030,true,-0.693,scenario_conditional
2026-08-12,2026-08-03,nasdaq-scenario:2026-08-03:r8,7,26588.49,25040,25510,26050,26590,27100,true,2.067,scenario_conditional
2026-08-12,2026-08-06,nasdaq-scenario:2026-08-06:r1,4,26588.49,25660,26030,26440,26850,27230,true,0.562,scenario_conditional
2026-08-12,2026-08-07,nasdaq-scenario:2026-08-07:r1,3,26588.49,26080,26400,26760,27120,27460,true,-0.641,scenario_conditional
2026-08-12,2026-08-10,nasdaq-scenario:2026-08-10:r1,2,26588.49,26090,26360,26650,26950,27230,true,-0.231,scenario_conditional
2026-08-12,2026-08-11,nasdaq-scenario:2026-08-11:r1,1,26588.49,26080,26260,26470,26680,26860,true,0.448,scenario_conditional
2026-08-13,2026-08-03,nasdaq-scenario:2026-08-03:r8,8,26803.03,24990,25490,26070,26660,27190,true,2.812,scenario_conditional
2026-08-13,2026-08-06,nasdaq-scenario:2026-08-06:r1,5,26803.03,25600,25990,26460,26930,27340,true,1.296,scenario_conditional
2026-08-13,2026-08-07,nasdaq-scenario:2026-08-07:r1,4,26803.03,25990,26360,26780,27200,27580,true,0.086,scenario_conditional
2026-08-13,2026-08-10,nasdaq-scenario:2026-08-10:r1,3,26803.03,25990,26310,26670,27030,27370,true,0.499,scenario_conditional
2026-08-13,2026-08-11,nasdaq-scenario:2026-08-11:r1,2,26803.03,25930,26200,26480,26780,27060,true,1.22,scenario_conditional
2026-08-13,2026-08-12,nasdaq-scenario:2026-08-12:r1,1,26803.03,26220,26400,26610,26820,27010,true,0.725,scenario_conditional
2026-08-14,2026-08-03,nasdaq-scenario:2026-08-03:r8,9,26729.16,24950,25480,26090,26710,27290,true,2.45,scenario_conditional
2026-08-14,2026-08-06,nasdaq-scenario:2026-08-06:r1,6,26729.16,25530,25980,26490,26990,27470,true,0.903,scenario_conditional
2026-08-14,2026-08-07,nasdaq-scenario:2026-08-07:r1,5,26729.16,25930,26330,26810,27280,27700,true,-0.302,scenario_conditional
2026-08-14,2026-08-10,nasdaq-scenario:2026-08-10:r1,4,26729.16,25900,26280,26690,27110,27490,true,0.147,scenario_conditional
2026-08-14,2026-08-11,nasdaq-scenario:2026-08-11:r1,3,26729.16,25830,26150,26510,26870,27200,true,0.827,scenario_conditional
2026-08-14,2026-08-12,nasdaq-scenario:2026-08-12:r1,2,26729.16,26070,26340,26630,26930,27210,true,0.372,scenario_conditional
2026-08-14,2026-08-13,nasdaq-scenario:2026-08-13:r1,1,26729.16,26430,26620,26830,27040,27220,true,-0.376,scenario_conditional
2026-08-17,2026-08-03,nasdaq-scenario:2026-08-03:r8,10,26644.91,24890,25470,26110,26760,27370,true,2.049,scenario_conditional
2026-08-17,2026-08-06,nasdaq-scenario:2026-08-06:r1,7,26644.91,25490,25960,26510,27060,27570,true,0.509,scenario_conditional
2026-08-17,2026-08-07,nasdaq-scenario:2026-08-07:r1,6,26644.91,25860,26320,26830,27340,27820,true,-0.69,scenario_conditional
2026-08-17,2026-08-10,nasdaq-scenario:2026-08-10:r1,5,26644.91,25840,26240,26720,27190,27610,true,-0.281,scenario_conditional
2026-08-17,2026-08-11,nasdaq-scenario:2026-08-11:r1,4,26644.91,25740,26110,26530,26940,27320,true,0.433,scenario_conditional
2026-08-17,2026-08-12,nasdaq-scenario:2026-08-12:r1,3,26644.91,25980,26290,26650,27010,27350,true,-0.019,scenario_conditional
2026-08-17,2026-08-13,nasdaq-scenario:2026-08-13:r1,2,26644.91,26280,26550,26840,27140,27420,true,-0.727,scenario_conditional
2026-08-17,2026-08-14,nasdaq-scenario:2026-08-14:r1,1,26644.91,26360,26540,26750,26970,27150,true,-0.393,scenario_conditional
2026-08-18,2026-08-03,nasdaq-scenario:2026-08-03:r8,11,26289.71,24860,25450,26110,26810,27460,true,0.688,scenario_conditional
2026-08-18,2026-08-06,nasdaq-scenario:2026-08-06:r1,8,26289.71,25440,25940,26530,27130,27670,true,-0.906,scenario_conditional
2026-08-18,2026-08-07,nasdaq-scenario:2026-08-07:r1,7,26289.71,25820,26300,26850,27410,27930,true,-2.087,scenario_conditional
2026-08-18,2026-08-10,nasdaq-scenario:2026-08-10:r1,6,26289.71,25780,26230,26740,27250,27730,true,-1.684,scenario_conditional
2026-08-18,2026-08-11,nasdaq-scenario:2026-08-11:r1,5,26289.71,25680,26070,26550,27010,27430,true,-0.98,scenario_conditional
2026-08-18,2026-08-12,nasdaq-scenario:2026-08-12:r1,4,26289.71,25880,26260,26670,27090,27470,true,-1.426,scenario_conditional
2026-08-18,2026-08-13,nasdaq-scenario:2026-08-13:r1,3,26289.71,26190,26500,26870,27230,27570,true,-2.16,scenario_conditional
2026-08-18,2026-08-14,nasdaq-scenario:2026-08-14:r1,2,26289.71,26210,26480,26770,27070,27350,true,-1.794,scenario_conditional
2026-08-18,2026-08-17,nasdaq-scenario:2026-08-17:r1,1,26289.71,26270,26460,26670,26880,27060,true,-1.426,scenario_conditional
2026-08-19,2026-08-03,nasdaq-scenario:2026-08-03:r8,12,26331.09,24810,25440,26150,26860,27540,true,0.693,scenario_conditional
2026-08-19,2026-08-06,nasdaq-scenario:2026-08-06:r1,9,26331.09,25400,25940,26550,27180,27770,true,-0.825,scenario_conditional
2026-08-19,2026-08-07,nasdaq-scenario:2026-08-07:r1,8,26331.09,25770,26280,26870,27480,28030,true,-2.006,scenario_conditional
2026-08-19,2026-08-10,nasdaq-scenario:2026-08-10:r1,7,26331.09,25730,26210,26760,27320,27830,true,-1.603,scenario_conditional
2026-08-19,2026-08-11,nasdaq-scenario:2026-08-11:r1,6,26331.09,25610,26060,26570,27080,27550,true,-0.899,scenario_conditional
2026-08-19,2026-08-12,nasdaq-scenario:2026-08-12:r1,5,26331.09,25820,26220,26700,27170,27580,true,-1.382,scenario_conditional
2026-08-19,2026-08-13,nasdaq-scenario:2026-08-13:r1,4,26331.09,26090,26470,26890,27310,27690,true,-2.079,scenario_conditional
2026-08-19,2026-08-14,nasdaq-scenario:2026-08-14:r1,3,26331.09,26110,26430,26790,27160,27490,true,-1.713,scenario_conditional
2026-08-19,2026-08-17,nasdaq-scenario:2026-08-17:r1,2,26331.09,26120,26390,26680,26980,27260,true,-1.308,scenario_conditional
2026-08-19,2026-08-18,nasdaq-scenario:2026-08-18:r1,1,26331.09,25920,26100,26310,26520,26700,true,0.08,scenario_conditional
2026-08-20,2026-08-03,nasdaq-scenario:2026-08-03:r8,13,26067.17,24770,25440,26160,26910,27600,true,-0.355,scenario_conditional
2026-08-20,2026-08-06,nasdaq-scenario:2026-08-06:r1,10,26067.17,25340,25930,26580,27240,27860,true,-1.929,scenario_conditional
2026-08-20,2026-08-07,nasdaq-scenario:2026-08-07:r1,9,26067.17,25730,26270,26890,27540,28130,true,-3.06,scenario_conditional
2026-08-20,2026-08-10,nasdaq-scenario:2026-08-10:r1,8,26067.17,25680,26190,26780,27390,27930,true,-2.662,scenario_conditional
2026-08-20,2026-08-11,nasdaq-scenario:2026-08-11:r1,7,26067.17,25560,26040,26590,27140,27650,true,-1.966,scenario_conditional
2026-08-20,2026-08-12,nasdaq-scenario:2026-08-12:r1,6,26067.17,25760,26210,26720,27230,27710,true,-2.443,scenario_conditional
2026-08-20,2026-08-13,nasdaq-scenario:2026-08-13:r1,5,26067.17,26030,26430,26910,27380,27800,true,-3.132,scenario_conditional
